n,m,r
"{""Offenders"":20,""Crime"":79,""Name"":""Kerketuinen/Zichtenburg""}","{""Offenders"":374,""Crime"":296,""Name"":""Rond de Energiecentrale""}","{""dist"":482}"
"{""Offenders"":190,""Crime"":1216,""Name"":""Transvaalkwartier-Zuid""}","{""Offenders"":416,""Crime"":1170,""Name"":""Schildersbuurt-West""}","{""dist"":231}"
"{""Offenders"":542,""Crime"":920,""Name"":""Schildersbuurt-West""}","{""Offenders"":217,""Crime"":977,""Name"":""Transvaalkwartier-Zuid""}","{""dist"":203}"
"{""Offenders"":234,""Crime"":774,""Name"":""Transvaalkwartier-Zuid""}","{""Offenders"":531,""Crime"":842,""Name"":""Schildersbuurt-West""}","{""dist"":177}"
"{""Offenders"":286,""Crime"":722,""Name"":""Schildersbuurt-Noord""}","{""Offenders"":416,""Crime"":1170,""Name"":""Schildersbuurt-West""}","{""dist"":174}"
"{""Offenders"":531,""Crime"":842,""Name"":""Schildersbuurt-West""}","{""Offenders"":376,""Crime"":543,""Name"":""Schildersbuurt-Noord""}","{""dist"":160}"
"{""Offenders"":238,""Crime"":727,""Name"":""Transvaalkwartier-Zuid""}","{""Offenders"":581,""Crime"":856,""Name"":""Schildersbuurt-West""}","{""dist"":154}"
"{""Offenders"":223,""Crime"":905,""Name"":""Transvaalkwartier-Zuid""}","{""Offenders"":488,""Crime"":971,""Name"":""Schildersbuurt-West""}","{""dist"":145}"
"{""Offenders"":416,""Crime"":1170,""Name"":""Schildersbuurt-West""}","{""Offenders"":286,""Crime"":722,""Name"":""Schildersbuurt-Noord""}","{""dist"":142}"
"{""Offenders"":464,""Crime"":3586,""Name"":""Schildersbuurt-West""}","{""Offenders"":365,""Crime"":1024,""Name"":""Schildersbuurt-Noord""}","{""dist"":140}"